split,node_id,n_samples,mean_target_binary,mean_target,n_rules,rules
validation,162,4062,0.4862136878385032,-0.027572624322993598,6,"['slope_ema_60m_normalized <= 0.0000', 'price_z > -1.0372', 'minute_of_day <= 610.5000', 'ema_60m_normalized > 0.0002', 'volatility_60m <= 0.0019', 'minute_of_day <= 238.5000']"
validation,192,1452,0.550275482093664,0.10055096418732783,4,"['slope_ema_60m_normalized <= 0.0000', 'price_z > -1.0372', 'minute_of_day > 610.5000', 'ema_15m_normalized <= -0.0002']"
validation,153,10813,0.5233515213169333,0.04605567372607047,6,"['slope_ema_60m_normalized <= 0.0000', 'price_z > -1.0372', 'minute_of_day <= 610.5000', 'ema_60m_normalized <= 0.0002', 'minute_of_day > 257.5000', 'momentum_30m > -0.0014']"
validation,89,13,0.9230769230769231,0.8461538461538461,6,"['slope_ema_60m_normalized <= 0.0000', 'price_z <= -1.0372', 'minute_of_day > 203.5000', 'dist_from_low_30m <= 0.0011', 'macd_signal_normalized > -0.0014', 'atr_14 > 0.0009']"
validation,407,610,0.4459016393442623,-0.10983606557377049,7,"['slope_ema_60m_normalized > 0.0000', 'price_normalized > 0.0008', 'atr_14 <= 0.0006', 'price_normalized <= 0.0019', 'ema_30m_z > 1.2758', 'minute_of_day > 911.5000', 'day_of_week <= 3.5000']"
validation,260,10810,0.5143385753931545,0.026549491211840887,7,"['slope_ema_60m_normalized > 0.0000', 'price_normalized <= 0.0008', 'minute_of_day <= 913.5000', 'rsi_14 <= 73.9262', 'volatility_30m <= 0.0001', 'minute_of_day <= 901.5000', 'price_normalized <= 0.0003']"
validation,116,605,0.5173553719008265,0.03305785123966942,8,"['slope_ema_60m_normalized <= 0.0000', 'price_z <= -1.0372', 'minute_of_day > 203.5000', 'dist_from_low_30m > 0.0011', 'momentum_60m > -0.0244', 'ema_60m_z <= -2.2228', 'volatility_15m <= 0.0019', 'bb_position_20 > 0.2608']"
validation,47,341,0.4868035190615836,-0.02932551319648094,8,"['slope_ema_60m_normalized <= 0.0000', 'price_z <= -1.0372', 'minute_of_day <= 203.5000', 'ema_60m_normalized > 0.0013', 'day_of_week <= 1.5000', 'momentum_30m > -0.0306', 'slope_ema_15m_normalized <= -0.0000', 'volatility_15m > 0.0005']"
validation,252,218,0.6009174311926605,0.19724770642201836,8,"['slope_ema_60m_normalized <= 0.0000', 'price_z > -1.0372', 'minute_of_day > 610.5000', 'ema_15m_normalized > -0.0002', 'macd_normalized > 0.0000', 'bb_position_20 > 0.5050', 'momentum_60m > -0.0010', 'minute_of_day <= 903.5000']"
validation,145,10863,0.5227837613918807,0.044923133572677895,5,"['slope_ema_60m_normalized <= 0.0000', 'price_z > -1.0372', 'minute_of_day <= 610.5000', 'ema_60m_normalized <= 0.0002', 'minute_of_day > 257.5000']"
validation,234,102,0.5882352941176471,0.17647058823529413,8,"['slope_ema_60m_normalized <= 0.0000', 'price_z > -1.0372', 'minute_of_day > 610.5000', 'ema_15m_normalized > -0.0002', 'macd_normalized <= 0.0000', 'volatility_60m > 0.0005', 'dist_from_low_30m <= 0.0030', 'volatility_15m <= 0.0011']"
validation,243,398,0.5276381909547738,0.05527638190954774,8,"['slope_ema_60m_normalized <= 0.0000', 'price_z > -1.0372', 'minute_of_day > 610.5000', 'ema_15m_normalized > -0.0002', 'macd_normalized > 0.0000', 'bb_position_20 <= 0.5050', 'volatility_60m <= 0.0001', 'price_range > 0.0001']"
validation,348,78,0.6153846153846154,0.23076923076923078,7,"['slope_ema_60m_normalized > 0.0000', 'price_normalized <= 0.0008', 'minute_of_day > 913.5000', 'minute_of_day <= 939.5000', 'ema_30m_z > 2.4003', 'volatility_15m > 0.0001', 'day_of_week > 1.5000']"
validation,392,547,0.4625228519195612,-0.07495429616087751,8,"['slope_ema_60m_normalized > 0.0000', 'price_normalized > 0.0008', 'atr_14 <= 0.0006', 'price_normalized <= 0.0019', 'ema_30m_z <= 1.2758', 'ema_10m_normalized <= 0.0001', 'atr_14 > 0.0004', 'ema_30m_normalized > -0.0009']"
validation,353,2201,0.4825079509313948,-0.03498409813721036,6,"['slope_ema_60m_normalized > 0.0000', 'price_normalized <= 0.0008', 'minute_of_day > 913.5000', 'minute_of_day > 939.5000', 'minute_of_day <= 982.5000', 'momentum_60m <= 0.0012']"
